"Site","Plot","TIMESTAMP","Instrument","Instrument_ID","Sensor_ID","Location","Value","research_name","Source_file","F_OOB","F_OOS","F_MAD"
"GCW","W","2024-01-01 00:00:00","CS106",,,,0,"wx-vp15","23839d1e",,0,
"GCW","W","2024-01-01 00:00:00","CS106",,,,0,"wx-vp15","67ab29eb",,0,
"GCW","W","2024-01-01 00:15:00","CS106",,,,0,"wx-vp15","23839d1e",,0,
"GCW","W","2024-01-01 00:15:00","CS106",,,,0,"wx-vp15","67ab29eb",,0,
"GCW","W","2024-01-01 00:30:00","CS106",,,,0,"wx-vp15","23839d1e",,0,
"GCW","W","2024-01-01 00:30:00","CS106",,,,0,"wx-vp15","67ab29eb",,0,
"GCW","W","2024-01-01 00:45:00","CS106",,,,0,"wx-vp15","23839d1e",,0,
"GCW","W","2024-01-01 00:45:00","CS106",,,,0,"wx-vp15","67ab29eb",,0,
"GCW","W","2024-01-01 01:00:00","CS106",,,,0,"wx-vp15","23839d1e",,0,
"GCW","W","2024-01-01 01:00:00","CS106",,,,0,"wx-vp15","67ab29eb",,0,
"GCW","W","2024-01-01 01:15:00","CS106",,,,0,"wx-vp15","23839d1e",,0,
"GCW","W","2024-01-01 01:15:00","CS106",,,,0,"wx-vp15","67ab29eb",,0,
"GCW","W","2024-01-01 01:30:00","CS106",,,,0,"wx-vp15","23839d1e",,0,
"GCW","W","2024-01-01 01:30:00","CS106",,,,0,"wx-vp15","67ab29eb",,0,
"GCW","W","2024-01-01 01:45:00","CS106",,,,0,"wx-vp15","23839d1e",,0,
"GCW","W","2024-01-01 01:45:00","CS106",,,,0,"wx-vp15","67ab29eb",,0,
"GCW","W","2024-01-01 02:00:00","CS106",,,,0,"wx-vp15","23839d1e",,0,
"GCW","W","2024-01-01 02:00:00","CS106",,,,0,"wx-vp15","67ab29eb",,0,
"GCW","W","2024-01-01 02:15:00","CS106",,,,0,"wx-vp15","23839d1e",,0,
"GCW","W","2024-01-01 02:15:00","CS106",,,,0,"wx-vp15","67ab29eb",,0,
"GCW","W","2024-01-01 02:30:00","CS106",,,,0,"wx-vp15","23839d1e",,0,
"GCW","W","2024-01-01 02:30:00","CS106",,,,0,"wx-vp15","67ab29eb",,0,
"GCW","W","2024-01-01 02:45:00","CS106",,,,0,"wx-vp15","23839d1e",,0,
"GCW","W","2024-01-01 02:45:00","CS106",,,,0,"wx-vp15","67ab29eb",,0,
"GCW","W","2024-01-01 03:00:00","CS106",,,,0,"wx-vp15","23839d1e",,0,
"GCW","W","2024-01-01 03:00:00","CS106",,,,0,"wx-vp15","67ab29eb",,0,
"GCW","W","2024-01-01 03:15:00","CS106",,,,0,"wx-vp15","23839d1e",,0,
"GCW","W","2024-01-01 03:15:00","CS106",,,,0,"wx-vp15","67ab29eb",,0,
"GCW","W","2024-01-01 03:30:00","CS106",,,,0,"wx-vp15","23839d1e",,0,
"GCW","W","2024-01-01 03:30:00","CS106",,,,0,"wx-vp15","67ab29eb",,0,
"GCW","W","2024-01-01 03:45:00","CS106",,,,0,"wx-vp15","23839d1e",,0,
"GCW","W","2024-01-01 03:45:00","CS106",,,,0,"wx-vp15","67ab29eb",,0,
"GCW","W","2024-01-01 04:00:00","CS106",,,,0,"wx-vp15","23839d1e",,0,
"GCW","W","2024-01-01 04:00:00","CS106",,,,0,"wx-vp15","67ab29eb",,0,
"GCW","W","2024-01-01 04:15:00","CS106",,,,0,"wx-vp15","23839d1e",,0,
"GCW","W","2024-01-01 04:15:00","CS106",,,,0,"wx-vp15","67ab29eb",,0,
"GCW","W","2024-01-01 04:30:00","CS106",,,,0,"wx-vp15","23839d1e",,0,
"GCW","W","2024-01-01 04:30:00","CS106",,,,0,"wx-vp15","67ab29eb",,0,
"GCW","W","2024-01-01 04:45:00","CS106",,,,0,"wx-vp15","23839d1e",,0,
"GCW","W","2024-01-01 04:45:00","CS106",,,,0,"wx-vp15","67ab29eb",,0,
"GCW","W","2024-01-01 05:00:00","CS106",,,,0,"wx-vp15","23839d1e",,0,
"GCW","W","2024-01-01 05:00:00","CS106",,,,0,"wx-vp15","67ab29eb",,0,
"GCW","W","2024-01-01 05:15:00","CS106",,,,0,"wx-vp15","23839d1e",,0,
"GCW","W","2024-01-01 05:15:00","CS106",,,,0,"wx-vp15","67ab29eb",,0,
"GCW","W","2024-01-01 05:30:00","CS106",,,,0,"wx-vp15","23839d1e",,0,
"GCW","W","2024-01-01 05:30:00","CS106",,,,0,"wx-vp15","67ab29eb",,0,
"GCW","W","2024-01-01 05:45:00","CS106",,,,0,"wx-vp15","23839d1e",,0,
"GCW","W","2024-01-01 05:45:00","CS106",,,,0,"wx-vp15","67ab29eb",,0,
"GCW","W","2024-01-01 06:00:00","CS106",,,,0,"wx-vp15","23839d1e",,0,
"GCW","W","2024-01-01 06:00:00","CS106",,,,0,"wx-vp15","67ab29eb",,0,
"GCW","W","2024-01-01 06:15:00","CS106",,,,0,"wx-vp15","23839d1e",,0,
"GCW","W","2024-01-01 06:15:00","CS106",,,,0,"wx-vp15","67ab29eb",,0,
"GCW","W","2024-01-01 06:30:00","CS106",,,,0,"wx-vp15","23839d1e",,0,
"GCW","W","2024-01-01 06:30:00","CS106",,,,0,"wx-vp15","67ab29eb",,0,
"GCW","W","2024-01-01 06:45:00","CS106",,,,0,"wx-vp15","23839d1e",,0,
