"","Sample Number","Project","Time-Well","Date","ID","ID1","Sample_ID","SO4_ppm","SO4_Area","Cl_ppm","Cl_Area","SO4_mM","Cl_mM","salinity"
"1","1","FTS","GW1","1245","20240208","1","1_FTS_GW1_1245_20240208",335.9606,5.2283,3611.37,68.9152,10.4791203992514,101.87221438646,6.52577159
"2","10","FTS","1100","20240208","10","FTS","10_FTS_1100_20240208",165.0078,2.5679,700.7631,13.3726,5.14684341859014,19.7676473906911,1.2663049217
"3","11","FTS","1200","20240208","11","FTS","11_FTS_1200_20240208",314.2336,4.8902,1573.4533,30.026,9.80142233312539,44.3851424541608,2.8432561131
"4","12","FTS","1300","20240208","12","FTS","12_FTS_1300_20240208",346.1742,5.3873,1573.055,30.0184,10.797698066126,44.3739069111425,2.842536385
"5","13","FTS","1400","20240208","13","FTS","13_FTS_1400_20240208",369.21,5.7458,1623.3431,30.978,11.516219588272,45.7924710860367,2.9334069817
"6","14","FTS","1500","20240208","14","FTS","14_FTS_1500_20240208",359.148,5.5892,1627.9195,31.0653,11.202370555209,45.9215655853315,2.9416765365
"7","15","FTS","1600","20240208","15","FTS","15_FTS_1600_20240208",356.31,5.545,1760.916,33.6033,11.113849033063,49.6732299012694,3.182001212
"8","16","FTS","ISCO","1600","20240208","16","16_FTS_ISCO_1600_20240208",354.4345,5.5158,1595.7505,30.4515,11.0553493449782,45.0141184767278,2.8835471535
"9","17","FTS","1700","20240208","17","FTS","17_FTS_1700_20240208",353.8722,5.5071,1621.3284,30.9396,11.0378103555833,45.7356389280677,2.9297664188
"10","18","FTS","ISCO","1700","20240208","18","18_FTS_ISCO_1700_20240208",354.9488,5.5238,1681.6554,32.0908,11.0713911416095,47.4373878702398,3.0387773078
"11","19","FTS","1800","20240208","19","FTS","19_FTS_1800_20240208",346.5941,5.3938,1579.5743,30.1428,10.8107953836556,44.557808180536,2.8543167601
"12","2","FTS","GW2","1345","20240208","2","2_FTS_GW2_1345_20240208",527.3077,8.2061,4992.2626,95.2666,16.4475265127885,140.825461212976,9.0210445182
"13","20","FTS","ISCO","1800","20240208","20","20_FTS_ISCO_1800_20240208",355.1798,5.5274,1619.5814,30.9062,11.0785963817842,45.6863582510578,2.9266095898
"14","21","FTS","1900","20240208","21","FTS","21_FTS_1900_20240208",332.5324,5.175,1534.3461,29.2797,10.3721896444167,43.2819774330042,2.7725894027
"15","22","FTS","ISCO","1900","20240208","22","22_FTS_ISCO_1900_20240208",345.2216,5.3724,1559.7147,29.7638,10.7679850280724,43.9975937940762,2.8184304629
"16","23","FTS","2000","20240208","23","FTS","23_FTS_2000_20240208",335.9362,5.2279,1532.2561,29.2398,10.4783593262633,43.2230211565585,2.7688127727
"17","24","FTS","ISCO","2000","20240208","24","24_FTS_ISCO_2000_20240208",329.3079,5.1248,1631.4318,31.1324,10.2716126013724,46.0206431593794,2.9480232626
"18","25","FTS","2100","20240208","25","FTS","25_FTS_2100_20240208",323.155,5.029,1450.7738,27.6849,10.0796943231441,40.9245077574048,2.6215742566
"19","26","FTS","ISCO","2100","20240208","26","26_FTS_ISCO_2100_20240208",312.3196,4.8604,1423.5405,27.1652,9.7417217716781,40.1562905500705,2.5723636835
"20","27","FTS","ISCO","2200","20240208","27","27_FTS_ISCO_2200_20240208",327.1936,5.0919,1467.8589,28.0109,10.2056643792888,41.4064569816643,2.6524470323
"21","28","FTS","ISCO","2300","20240208","28","28_FTS_ISCO_2300_20240208",321.5626,5.0043,1452.9684,27.7268,10.0300249532127,40.9864146685472,2.6255398988
"22","29","FTS","ISCO","2400","20240208","29","29_FTS_ISCO_2400_20240208",364.0463,5.6654,1696.6861,32.3776,11.3551559575795,47.8613850493653,3.0659377827
"23","3","FTS","GW3","1445","20240208","3","3_FTS_GW3_1445_20240208",397.7196,6.1894,2986.0047,56.9815,12.4054772301934,84.2314442877292,5.3957364929
